town_code,town,lat,long,district,district_lat,district_long,region,regional_city,region_lat,region_long,population_density,area,population,distance_town_district,drive_town_district,distance_town_region,drive_town_region
519111,Cigeľka,49.4055886,21.1480998,Bardejov,49.2926871,21.2756031,Prešovský kraj,Prešov,48.9975724,21.2401811,38.13,"15,984,432",610,20.2,28,61.4,70
519138,Dubinné,49.2477761,21.4340766,Bardejov,49.2926871,21.2756031,Prešovský kraj,Prešov,48.9975724,21.2401811,49.31,"7,077,233",349,15.7,24,47,61
519154,Frička,49.40675415,21.07273914,Bardejov,49.2926871,21.2756031,Prešovský kraj,Prešov,48.9975724,21.2401811,41.19,"8,278,554",341,21.7,31,62.9,73
519162,Fričkovce,49.1845866,21.2409372,Bardejov,49.2926871,21.2756031,Prešovský kraj,Prešov,48.9975724,21.2401811,78.39,"9,350,883",733,14.1,21,30.3,37
519171,Gaboltov,49.3704485,21.13877994,Bardejov,49.2926871,21.2756031,Prešovský kraj,Prešov,48.9975724,21.2401811,37.82,"12,732,420",482,15.6,21,56.8,63
519189,Gerlachov - Bardejov,49.3412479,21.10544258,Bardejov,49.2926871,21.2756031,Prešovský kraj,Prešov,48.9975724,21.2401811,120.61,"8,863,544",1069,14.4,17,55.6,60
519201,Hankovce - Bardejov,49.2039984,21.4054241,Bardejov,49.2926871,21.2756031,Prešovský kraj,Prešov,48.9975724,21.2401811,49.76,"8,892,562",443,20.3,31,39.1,50
519219,Harhaj,49.1838015,21.40768579,Bardejov,49.2926871,21.2756031,Prešovský kraj,Prešov,48.9975724,21.2401811,60.55,"4,434,483",269,20.2,31,34,42
519227,Hažlín,49.3028201,21.4211327,Bardejov,49.2926871,21.2756031,Prešovský kraj,Prešov,48.9975724,21.2401811,54.48,"20,098,719",1095,13.9,22,54.5,65
519235,Hertník,49.2086619,21.2378752,Bardejov,49.2926871,21.2756031,Prešovský kraj,Prešov,48.9975724,21.2401811,57.8,"17,974,985",1039,11.1,16,33.4,39
519243,Hervartov,49.247478,21.2074511,Bardejov,49.2926871,21.2756031,Prešovský kraj,Prešov,48.9975724,21.2401811,52.07,"9,872,007",514,8.9,13,40.3,45
519251,Hrabovec,49.2722061,21.3807607,Bardejov,49.2926871,21.2756031,Prešovský kraj,Prešov,48.9975724,21.2401811,65.25,"7,854,714",513,10.7,17,51.2,60
